GBP2	1	89106132	89126114
GBP4	1	89181144	89198942
GBP5	1	89258950	89272860
LRRC8B	1	89524828	89597861
LRRC8C-DT	1	89624848	89632894
LRRC8C	1	89633119	89719531
LRRC8D	1	89821031	89936611
ZNF326	1	89995094	90035533
ZNF644	1	90915299	91022255
HFM1	1	91260765	91404837
CDC7	1	91500846	91525764
TGFBR3	1	91680342	91906002
EPHX4	1	92029984	92063538
BTBD8	1	92080344	92184723
GLMN	1	92246397	92299009
RPAP2	1	92299058	92402056
GFI1	1	92473042	92486925
EVI5	1	92508695	92792410
RPL5	1	92831985	92841924
MTF2	1	93079234	93139081
TMED5	1	93149741	93180413
CCDC18	1	93180715	93278730
DR1	1	93345906	93369493
FNBP1L	1	93448117	93554661
BCAR3	1	93561740	93847219
DNTTIP2	1	93866283	93879206
GCLM	1	93885199	93909598
ABCA4	1	93992833	94121148
ARHGAP29	1	94168904	94247746
ABCD3	1	94418376	94518663
F3	1	94529172	94541857
SLC44A3	1	94820356	94895247
CNN3	1	94896948	94927223
ALG14	1	94974404	95072951
RWDD3	1	95234154	95247225
PTBP2	1	96721604	96823739
DPYD	1	97077743	97921059
SNX7	1	98661720	98760500
PLPPR4	1	99264291	99309582
PALMD	1	99646112	99694535
FRRS1	1	99703966	99766635
AGL	1	99850360	99924023
SLC35A3	1	99969995	100035634
SASS6	1	100083569	100132930
TRMT13	1	100133149	100150498
LRRC39	1	100148447	100178273
DBT	1	100186918	100249834
RTCA-AS1	1	100264741	100266174
RTCA	1	100266157	100292769
CDC14A	1	100345014	100520277
VCAM1	1	100719639	100739046
EXTL2	1	100872371	100895179
SLC30A7	1	100896089	100981757
DPH5	1	100989624	101025806
S1PR1	1	101236748	101241520
COL11A1	1	102876466	103108522
RNPC3	1	103525698	103555237
AMY2B	1	103554643	103579534
PRMT6	1	107056673	107059294
NTNG1	1	107140087	107484923
VAV3	1	107571160	107965180
SLC25A24	1	108134042	108200343
HENMT1	1	108648287	108661526
PRPF38B	1	108692309	108702928
STXBP3	1	108746673	108809519
AKNAD1	1	108815902	108858244
GPSM2	1	108876984	108934544
CLCC1	1	108929505	108963484
WDR47	1	108970215	109042228
TAF13	1	109064139	109076003
TMEM167B	1	109090763	109096934
CELSR2	1	109249538	109275751
PSRC1	1	109279553	109283168
MYBPHL	1	109292364	109307011
SORT1	1	109309565	109397918
PSMA5	1	109399041	109426448
SYPL2	1	109466545	109482134
ATXN7L2	1	109483904	109492798
CYB561D1	1	109494035	109500441
AMIGO1	1	109504177	109509727
GPR61	1	109539871	109545848
GNAI3	1	109548614	109600193
AMPD2	1	109619812	109632055
GSTM4	1	109656075	109665497
GSTM2	1	109668021	109683997
GSTM1	1	109687816	109693745
GSTM5	1	109712250	109718268
GSTM3	1	109733931	109741038
EPS8L3	1	109750079	109763923
CSF1	1	109910848	109930992
AHCYL1	1	109984764	110023742
